step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud
698,TRANSFER,9097679.75,C413853456,9097679.75,0.0,C949247454,0.0,0.0,1,0
536,TRANSFER,624686.04,C1401632766,624686.04,0.0,C1786081115,0.0,0.0,1,0
576,CASH_OUT,1322277.84,C1585759405,1322277.84,0.0,C1855735331,0.0,1322277.84,1,0
590,TRANSFER,179725.06,C916884733,179725.06,0.0,C829501774,0.0,0.0,1,0
248,CASH_OUT,18035.14,C1218999932,18035.14,0.0,C463930958,0.0,18035.14,1,0
450,CASH_OUT,36267.62,C281930322,36267.62,0.0,C1655359478,6310213.47,6346481.09,1,0
317,CASH_OUT,493.28,C2126327419,493.28,0.0,C1658560139,1078812.78,1079306.06,1,0
13,CASH_OUT,339533.84,C286176194,21768.0,0.0,C1707051493,388428.93,727962.77,0,0
13,CASH_OUT,1161495.82,C165094398,1161495.82,0.0,C1966002811,319036.02,1565123.81,1,0
237,CASH_OUT,152384.96,C958461582,125678.0,0.0,C262845955,189701.39,342086.35,0,0
209,CASH_OUT,25776.37,C1815421538,35045.0,9268.63,C2144149588,460204.5,485980.87,0,0
201,CASH_IN,22587.44,C1506224539,8798847.26,8821434.7,C1803365499,898797.81,876210.37,0,0
339,CASH_OUT,164382.72,C1859886092,164382.72,0.0,C782666310,445530.63,609913.36,1,0
96,DEBIT,537.68,C140516133,7075.0,6537.32,C1666121257,1198463.86,1199001.54,0,0
183,CASH_OUT,171946.51,C1419161559,0.0,0.0,C830982130,587068.68,759015.19,0,0
211,TRANSFER,421090.1,C1456981215,0.0,0.0,C496913202,919097.5,1340187.6,0,0
134,CASH_OUT,243274.1,C1140451648,9991.0,0.0,C629599440,3003115.61,3246389.71,0,0
228,CASH_OUT,168362.55,C825450744,77433.0,0.0,C737453313,467575.07,635937.62,0,0
493,CASH_OUT,605108.36,C258213312,605108.36,0.0,C1204527929,893880.11,1498988.47,1,0
333,CASH_IN,40364.98,C774604413,11684.0,52048.98,C123513977,2625367.7,2585002.72,0,0
301,CASH_IN,63235.43,C1895135322,499572.36,562807.78,C1606102556,4321616.5,4258381.07,0,0
646,CASH_OUT,10000000.0,C51318897,10000000.0,0.0,C259016801,0.0,10000000.0,1,0
527,TRANSFER,1094419.89,C1749621461,1094419.89,0.0,C1910771897,0.0,0.0,1,0
280,CASH_IN,232480.45,C780279263,6652797.97,6885278.41,C333934340,1037727.05,805246.61,0,0
473,CASH_OUT,179700.14,C1270751664,179700.14,0.0,C1991324873,1792.34,181492.48,1,0
41,TRANSFER,82806.2,C474735735,82806.2,0.0,C1737223057,0.0,0.0,1,0
572,TRANSFER,151715.39,C1308715820,151715.39,0.0,C997543700,0.0,0.0,1,0
541,CASH_OUT,2629417.41,C903487655,2629417.41,0.0,C1853529603,0.0,2629417.41,1,0
356,PAYMENT,1547.74,C1818969961,10878.0,9330.26,M1523237957,0.0,0.0,0,0
35,CASH_OUT,210044.07,C1808354378,8015.78,0.0,C182468868,4348713.83,4558757.9,0,0
258,CASH_OUT,2684142.41,C1423321917,2684142.41,0.0,C1442224179,209538.74,2893681.15,1,0
181,CASH_OUT,263646.71,C1944383702,18017.0,0.0,C2071140198,1157509.94,1421156.64,0,0
87,TRANSFER,115461.48,C1864352304,115461.48,0.0,C238575749,0.0,0.0,1,0
274,CASH_OUT,214765.47,C698303640,0.0,0.0,C619282206,289964.26,504729.73,0,0
154,CASH_OUT,135988.78,C923571703,116976.0,0.0,C1256627429,371651.21,507639.99,0,0
235,PAYMENT,2009.54,C691291408,24560.0,22550.46,M1196413440,0.0,0.0,0,0
127,TRANSFER,321883.89,C159404315,321883.89,0.0,C1578451350,0.0,0.0,1,0
289,CASH_OUT,87219.11,C790263218,87219.11,0.0,C1380927357,45443.64,132662.75,1,0
276,PAYMENT,2597.76,C1171530394,583867.7,581269.94,M1958112345,0.0,0.0,0,0
163,TRANSFER,163294.35,C1008040846,163294.35,0.0,C1284780903,0.0,0.0,1,0
307,TRANSFER,1749325.14,C1343086585,1749325.14,0.0,C256353022,0.0,0.0,1,0
595,CASH_OUT,236914.77,C1406154490,236914.77,0.0,C423223953,175716.84,412631.61,1,0
371,CASH_OUT,243148.94,C2132652271,0.0,0.0,C1704057675,364646.57,607795.51,0,0
173,TRANSFER,8594499.99,C377226285,8594499.99,0.0,C497430875,0.0,0.0,1,0
9,TRANSFER,21922.0,C102617052,21922.0,0.0,C760675871,0.0,0.0,1,0
208,CASH_IN,71001.13,C887374362,6125827.47,6196828.6,C1516482671,1853399.11,1782397.98,0,0
621,TRANSFER,348751.45,C1707939649,348751.45,0.0,C613081962,0.0,0.0,1,0
180,TRANSFER,488988.12,C181797627,0.0,0.0,C1399710366,1386565.95,1875554.08,0,0
250,CASH_OUT,178282.41,C549173689,58272.0,0.0,C545328657,0.0,178282.41,0,0
131,CASH_IN,285249.39,C1223243236,252.0,285501.39,C611633719,0.0,0.0,0,0
7,CASH_IN,166686.78,C2008027686,2695735.83,2862422.61,C1706891711,301294.72,98525.69,0,0
117,TRANSFER,251621.18,C879463132,251621.18,0.0,C89396076,0.0,0.0,1,0
1,CASH_OUT,2806.0,C2101527076,2806.0,0.0,C1007251739,26202.0,0.0,1,0
281,CASH_OUT,35063.06,C243492019,0.0,0.0,C2065092820,75221.57,110284.63,0,0
679,TRANSFER,3150438.28,C1921052827,3150438.28,0.0,C117597233,0.0,0.0,1,0
284,CASH_OUT,423135.8,C1825813460,0.0,0.0,C583500978,653374.34,1076510.14,0,0
190,CASH_OUT,265747.73,C2046465313,265747.73,0.0,C1929273714,0.0,265747.73,1,0
16,PAYMENT,855.25,C1883722363,0.0,0.0,M1110070877,0.0,0.0,0,0
356,CASH_OUT,117111.19,C2127748279,0.0,0.0,C281907564,1263877.57,1380988.76,0,0
540,TRANSFER,972724.11,C228163458,123284.0,0.0,C697854112,0.0,972724.11,0,0
202,CASH_OUT,22184.83,C890257676,0.0,0.0,C1080933771,1445978.84,1468163.67,0,0
475,CASH_OUT,20111.45,C1538717187,20111.45,0.0,C685749303,1431418.64,1451530.08,1,0
437,CASH_OUT,119041.12,C1186588727,119041.12,0.0,C1803677930,1755159.6,1874200.73,1,0
227,CASH_OUT,2815893.17,C716780385,2815893.17,0.0,C2047944461,104430.53,2920323.7,1,0
713,TRANSFER,2046684.58,C1240168728,2046684.58,0.0,C807998987,0.0,0.0,1,0
11,TRANSFER,313418.28,C711446907,313418.28,0.0,C888769567,0.0,97980.88,1,0
412,TRANSFER,381977.83,C692435443,381977.83,0.0,C1301812889,0.0,0.0,1,0
644,TRANSFER,628033.58,C461413843,628033.58,0.0,C1733340039,0.0,0.0,1,0
38,PAYMENT,7168.12,C1553309410,41766.0,34597.88,M520248160,0.0,0.0,0,0
207,CASH_OUT,408030.06,C146285892,11058.0,0.0,C1425374727,946428.68,1354458.74,0,0
646,CASH_OUT,10000000.0,C352927410,10000000.0,0.0,C593822721,0.0,10000000.0,1,0
277,TRANSFER,621387.64,C1520262404,621387.64,0.0,C622056239,0.0,0.0,1,0
716,TRANSFER,455386.57,C1237757319,455386.57,0.0,C1987660225,0.0,0.0,1,0
696,TRANSFER,803038.11,C1481259935,803038.11,0.0,C749805705,0.0,0.0,1,0
470,TRANSFER,2859010.61,C2075115765,2859010.61,0.0,C2025150574,0.0,0.0,1,0
282,TRANSFER,1564952.45,C629586313,1564952.45,0.0,C1455441371,0.0,0.0,1,0
445,TRANSFER,100433.21,C1110061558,100433.21,0.0,C1628647605,0.0,0.0,1,0
343,TRANSFER,237943.62,C421063586,237943.62,0.0,C339061789,0.0,0.0,1,0
491,TRANSFER,1265033.25,C816802649,1265033.25,0.0,C1270749460,0.0,0.0,1,0
304,TRANSFER,10000000.0,C78144164,0.0,0.0,C2035186989,20000000.0,44267165.01,0,0
331,PAYMENT,20656.89,C1415197771,0.0,0.0,M982183907,0.0,0.0,0,0
210,PAYMENT,9309.96,C465565185,0.0,0.0,M41307268,0.0,0.0,0,0
249,TRANSFER,3879669.76,C754455797,3879669.76,0.0,C2131616208,0.0,0.0,1,0
736,TRANSFER,172915.56,C809421762,172915.56,0.0,C922949520,0.0,0.0,1,0
26,TRANSFER,369186.87,C1879175902,369186.87,0.0,C900709443,0.0,0.0,1,0
140,CASH_OUT,107145.93,C1317488948,0.0,0.0,C1399213042,142039.0,126772.12,0,0
66,CASH_OUT,107188.41,C2059976574,107188.41,0.0,C1021456304,696135.43,803323.83,1,0
44,PAYMENT,10361.33,C1967326202,332838.0,322476.67,M949315290,0.0,0.0,0,0
562,CASH_OUT,2305939.38,C2131356877,2305939.38,0.0,C1797345744,0.0,2305939.38,1,0
351,PAYMENT,14371.1,C941846661,29836.0,15464.9,M536267431,0.0,0.0,0,0
333,PAYMENT,36391.47,C2037993478,0.0,0.0,M935281432,0.0,0.0,0,0
306,CASH_OUT,98246.22,C680889831,10957.0,0.0,C2138028352,244164.36,342410.58,0,0
351,PAYMENT,21246.99,C1188067831,2012.0,0.0,M1474119501,0.0,0.0,0,0
236,CASH_OUT,194635.71,C746427413,2237.0,0.0,C604227500,583256.93,777892.64,0,0
8,TRANSFER,43092.0,C1683174795,43092.0,0.0,C427998326,0.0,0.0,1,0
326,CASH_IN,333330.18,C2032206612,1058539.8,1391869.98,C658811646,445039.26,111709.08,0,0
251,PAYMENT,16840.4,C116882798,1715.0,0.0,M1483065941,0.0,0.0,0,0
131,TRANSFER,10000000.0,C2046014385,17476725.66,7476725.66,C97016938,0.0,0.0,1,0
441,CASH_OUT,107363.54,C1926290864,107363.54,0.0,C1072661124,254832.73,362196.27,1,0
475,CASH_OUT,11424.36,C358552175,11424.36,0.0,C11759889,155495.9,166920.26,1,0
157,CASH_OUT,323650.7,C372277267,35110.0,0.0,C1518793420,546285.84,869936.54,0,0
557,TRANSFER,776303.43,C137450034,776303.43,0.0,C97544246,0.0,0.0,1,0
140,CASH_IN,89281.5,C1352109381,82219.0,171500.5,C1561360303,0.0,0.0,0,0
659,CASH_OUT,1321984.45,C1969225423,1321984.45,0.0,C402356824,0.0,1321984.45,1,0
356,PAYMENT,2320.16,C1610321287,73661.0,71340.84,M2086268505,0.0,0.0,0,0
257,PAYMENT,6407.98,C735156721,213772.26,207364.29,M1735696815,0.0,0.0,0,0
142,CASH_IN,59644.16,C1195698827,156121.0,215765.16,C1457746411,38569.65,0.0,0,0
691,CASH_OUT,294934.2,C278185861,0.0,0.0,C1370579586,664162.28,959096.49,0,0
229,CASH_IN,335058.39,C300658762,39849.0,374907.39,C2038598006,923750.42,588692.02,0,0
37,CASH_IN,286205.59,C1109508920,14585.0,300790.59,C145669503,91082.18,0.0,0,0
380,CASH_OUT,3070709.95,C1489638562,3070709.95,0.0,C1524302218,0.0,3070709.95,1,0
541,CASH_OUT,3297243.38,C1395197193,3297243.38,0.0,C1975481357,22757.65,3320001.02,1,0
39,TRANSFER,18887.0,C725825783,18887.0,0.0,C236787500,0.0,0.0,1,0
527,CASH_OUT,6087.58,C645627086,6087.58,0.0,C616112992,3584904.5,3590992.07,1,0
586,CASH_OUT,245991.5,C1152264725,245991.5,0.0,C552488033,54630.66,300622.16,1,0
521,CASH_OUT,48734.24,C1897399258,48734.24,0.0,C1433317922,547479.72,596213.96,1,0
225,CASH_OUT,10276.87,C1047280731,10276.87,0.0,C37115325,950042.35,960319.22,1,0
302,PAYMENT,14591.56,C1416530458,20992.0,6400.44,M2118744351,0.0,0.0,0,0
186,CASH_OUT,436372.9,C1230799289,78414.0,0.0,C1394129238,242704.04,679076.94,0,0
353,TRANSFER,275082.0,C229722378,275082.0,0.0,C167926085,0.0,0.0,1,0
610,CASH_OUT,298754.96,C87645050,298754.96,0.0,C1812719573,1865811.93,2164566.89,1,0
619,CASH_OUT,2341474.44,C1090006952,2341474.44,0.0,C264963065,18780.15,2360254.6,1,0
141,CASH_IN,159038.69,C1842426404,31098.0,190136.69,C1127139907,212755.29,53716.6,0,0
161,CASH_IN,63189.49,C1259392656,10390719.73,10453909.22,C257007716,541165.33,477975.85,0,0
43,CASH_IN,131742.07,C398727045,3185992.42,3317734.49,C737657259,141408.4,9666.33,0,0
638,CASH_OUT,43996.54,C103861454,43996.54,0.0,C1002939134,808284.11,852280.66,1,0
72,TRANSFER,3243092.91,C891068137,3243092.91,0.0,C177386089,0.0,0.0,1,0
44,PAYMENT,16364.79,C1239903217,105826.0,89461.21,M2018559499,0.0,0.0,0,0
2,CASH_OUT,963532.14,C430329518,963532.14,0.0,C991505714,132382.57,1095914.71,1,0
143,CASH_OUT,810599.16,C1150396076,810599.16,0.0,C1385705037,971634.6,1782233.77,1,0
262,CASH_OUT,328427.77,C1592579801,328427.77,0.0,C1306965361,49762.33,378190.1,1,0
544,CASH_OUT,156747.88,C1231836833,0.0,0.0,C1981057943,3379112.32,3535860.2,0,0
276,CASH_IN,132810.81,C1369969710,10647.0,143457.81,C1507186815,0.0,0.0,0,0
280,TRANSFER,14073010.12,C527364887,0.0,0.0,C1548423127,16005111.81,30078121.93,0,0
735,CASH_OUT,417103.68,C1450763584,417103.68,0.0,C1377830519,34232.06,451335.75,1,0
161,CASH_OUT,234143.14,C1396195258,53342.0,0.0,C2107051722,232675.74,466818.87,0,0
202,CASH_OUT,339143.88,C870766776,20303.0,0.0,C1730591800,0.0,339143.88,0,0
16,CASH_OUT,109246.72,C1751592105,62427.0,0.0,C621655062,7428.0,73127.09,0,0
302,TRANSFER,5312987.28,C1938014711,0.0,0.0,C1816396564,8987323.67,14300310.95,0,0
157,PAYMENT,3268.18,C543631768,155962.38,152694.2,M1096984068,0.0,0.0,0,0
26,CASH_OUT,37065.55,C281192595,37065.55,0.0,C514736179,1396327.66,1433393.21,1,0
514,CASH_OUT,137605.04,C1580498026,137605.04,0.0,C191934228,0.0,137605.04,1,0
477,TRANSFER,9639524.7,C1490771263,9639524.7,0.0,C486822956,0.0,0.0,1,0
306,TRANSFER,850530.59,C1303640793,850530.59,0.0,C2112578501,0.0,0.0,1,0
222,CASH_OUT,1388774.78,C1239064572,1388774.78,0.0,C634051834,411942.91,1800717.69,1,0
12,TRANSFER,772088.64,C322357147,10916.0,0.0,C1597077021,0.0,347212.7,0,0
618,TRANSFER,34473.07,C1080532676,34473.07,0.0,C707184828,0.0,0.0,1,0
670,CASH_OUT,1001446.44,C1868561547,1001446.44,0.0,C597212846,0.0,1001446.44,1,0
22,TRANSFER,379878.0,C336424141,379878.0,0.0,C404961694,0.0,0.0,1,0
139,CASH_IN,145373.38,C1594085519,12487307.85,12632681.23,C246428220,1714085.45,1568712.07,0,0
719,TRANSFER,366896.03,C1253782028,366896.03,0.0,C2141598336,0.0,0.0,1,0
325,CASH_OUT,196846.03,C2065508763,31933.82,0.0,C509003263,1234099.57,1430945.6,0,0
359,TRANSFER,45271.85,C1007340530,45271.85,0.0,C527429443,0.0,0.0,1,0
236,PAYMENT,4754.54,C978004733,14519.0,9764.46,M1627696192,0.0,0.0,0,0
735,CASH_OUT,92735.71,C786761311,92735.71,0.0,C570188819,921583.3,1014319.01,1,0
435,CASH_OUT,1143937.73,C1347260506,1143937.73,0.0,C351378150,174260.08,1318197.81,1,0
63,TRANSFER,148188.84,C1621152719,148188.84,0.0,C2001263601,0.0,0.0,1,0
365,TRANSFER,3244067.13,C2080670113,3244067.13,0.0,C1564547651,0.0,0.0,1,0
219,TRANSFER,248242.32,C1026095459,248242.32,0.0,C1060066770,0.0,0.0,1,0
330,CASH_IN,135649.72,C19003529,13205.0,148854.72,C1739005834,1176840.83,1041191.11,0,0
176,CASH_OUT,102229.91,C2034388364,102229.91,0.0,C949501581,0.0,102229.91,1,0
328,PAYMENT,11057.76,C1175861717,0.0,0.0,M1681148524,0.0,0.0,0,0
492,CASH_OUT,394759.5,C682696310,183.0,0.0,C2091375050,198952.55,593712.06,0,0
656,CASH_IN,61425.0,C609557394,6451954.36,6513379.37,C1482095824,6916590.66,6855165.66,0,0
353,CASH_OUT,262164.11,C1755605402,15812.0,0.0,C231166733,10337.93,272502.04,0,0
557,TRANSFER,643052.88,C1888967333,643052.88,0.0,C1312240019,0.0,0.0,1,0
431,TRANSFER,966389.93,C920351883,966389.93,0.0,C870252964,0.0,0.0,1,0
592,CASH_OUT,32124.49,C533840971,0.0,0.0,C457764871,870294.71,902419.2,0,0
332,CASH_OUT,179507.42,C931523909,14939.0,0.0,C1332634119,0.0,179507.42,0,0
260,PAYMENT,12089.22,C1727144594,0.0,0.0,M1784909643,0.0,0.0,0,0
647,TRANSFER,64202.85,C164529897,64202.85,0.0,C1837582167,0.0,0.0,1,0
737,TRANSFER,2194533.79,C871130115,2194533.79,0.0,C1027984317,0.0,0.0,1,0
136,PAYMENT,6032.39,C1127489592,289346.0,283313.61,M1821650864,0.0,0.0,0,0
206,PAYMENT,10185.39,C206699044,199507.0,189321.61,M1888976258,0.0,0.0,0,0
707,CASH_OUT,4676.42,C812117475,4676.42,0.0,C765380392,0.0,4676.42,1,0
288,TRANSFER,44116.87,C642784724,44116.87,0.0,C1952007189,0.0,0.0,1,0
644,TRANSFER,4438931.81,C594373709,4438931.81,0.0,C2071706455,0.0,0.0,1,0
254,PAYMENT,18192.84,C78974181,0.0,0.0,M1026745044,0.0,0.0,0,0
210,CASH_IN,112924.11,C716899241,4234023.2,4346947.31,C79103885,195448.44,82524.33,0,0
459,TRANSFER,4153.02,C1504417393,4153.02,0.0,C413981813,0.0,0.0,1,0
305,CASH_IN,8530.62,C232002183,257922.0,266452.62,C1234181044,160551.06,152020.44,0,0
20,CASH_OUT,226209.03,C844861387,0.0,0.0,C1729992140,868996.56,1095205.59,0,0
262,TRANSFER,218074.57,C1211163896,218074.57,0.0,C1493086567,0.0,0.0,1,0
531,TRANSFER,13074.53,C56420164,13074.53,0.0,C840005543,0.0,0.0,1,0
478,TRANSFER,51183.25,C1783931496,51183.25,0.0,C10748060,0.0,0.0,1,0
328,CASH_OUT,183170.78,C11203989,0.0,0.0,C477055499,350875.9,534046.68,0,0
34,CASH_OUT,172168.65,C1456228243,50092.0,0.0,C957732076,0.0,172168.65,0,0
183,CASH_IN,178692.6,C1062048581,264.0,178956.6,C1590640698,348963.72,170271.11,0,0
382,PAYMENT,2794.12,C519844118,5592.0,2797.88,M932022412,0.0,0.0,0,0
232,CASH_OUT,33302.96,C601045727,33302.96,0.0,C2098386124,0.0,33302.96,1,0
518,PAYMENT,15082.91,C1896508889,0.0,0.0,M1630374737,0.0,0.0,0,0
430,CASH_OUT,3302492.95,C265373063,3302492.95,0.0,C628493905,589810.81,3892303.76,1,0
335,TRANSFER,723915.85,C452762754,723915.85,0.0,C66230253,0.0,0.0,1,0
333,PAYMENT,32042.88,C321854450,506.0,0.0,M494231609,0.0,0.0,0,0
229,CASH_IN,208576.85,C812260314,8044531.7,8253108.55,C1961580113,2955198.28,2746621.43,0,0
237,CASH_OUT,10000000.0,C844374854,10000000.0,0.0,C141316671,13009399.24,23009399.24,1,0
468,TRANSFER,155926.42,C161250720,155926.42,0.0,C314194629,0.0,0.0,1,0
460,TRANSFER,76548.48,C2008095547,76548.48,0.0,C2016906281,0.0,0.0,1,0
375,PAYMENT,3535.01,C393327055,0.0,0.0,M1446292245,0.0,0.0,0,0
465,CASH_OUT,4690769.98,C1265105517,4690769.98,0.0,C1603347069,0.0,4690769.98,1,0
138,CASH_OUT,138072.8,C508761607,30388.0,0.0,C1707099365,0.0,138072.8,0,0
669,CASH_OUT,106290.68,C1300397389,106290.68,0.0,C775257177,0.0,106290.68,1,0
322,PAYMENT,56959.09,C604917222,255485.34,198526.25,M92841299,0.0,0.0,0,0
18,CASH_OUT,344291.78,C551423959,0.0,0.0,C498642941,3015675.85,3399584.7,0,0
203,CASH_OUT,4644693.12,C1906191746,4644693.12,0.0,C580926195,0.0,4644693.12,1,0
253,TRANSFER,2415826.18,C549084804,2415826.18,0.0,C47190955,0.0,0.0,1,0
218,TRANSFER,61470.02,C1928586113,61470.02,0.0,C2024262984,0.0,0.0,1,0
395,CASH_IN,27644.68,C131102959,4297317.92,4324962.6,C1921560328,267375.53,239730.85,0,0
276,PAYMENT,2193.23,C1502645026,1988.0,0.0,M1176211537,0.0,0.0,0,0
345,CASH_OUT,927729.13,C1521419599,927729.13,0.0,C1908107274,0.0,927729.13,1,0
8,CASH_OUT,63850.29,C507949883,0.0,0.0,C758750856,881206.2,945056.48,0,0
104,TRANSFER,306833.41,C1531491177,306833.41,0.0,C495237092,0.0,0.0,1,0
208,CASH_OUT,71245.11,C587656446,0.0,0.0,C1815378875,279943.64,351188.74,0,0
719,CASH_OUT,366896.03,C2113748548,366896.03,0.0,C2051326295,0.0,366896.03,1,0
187,CASH_OUT,856386.66,C1887925622,856386.66,0.0,C128909445,256445.98,1112832.65,1,0
296,CASH_OUT,717046.74,C1696223343,717046.74,0.0,C1922098798,313951.85,1030998.59,1,0
160,PAYMENT,6045.63,C1351046416,144625.0,138579.37,M1984654020,0.0,0.0,0,0
517,CASH_OUT,699183.61,C103568596,699183.61,0.0,C1742143760,1355085.63,2054269.23,1,0
672,CASH_OUT,330756.72,C550919269,330756.72,0.0,C2020707965,251495.1,582251.83,1,0
164,PAYMENT,6671.72,C956435981,0.0,0.0,M978445788,0.0,0.0,0,0
377,CASH_OUT,489033.93,C922540199,489033.93,0.0,C1098002661,0.0,489033.93,1,0
177,CASH_IN,18455.84,C1173959850,4284681.24,4303137.08,C1646232479,752629.08,734173.24,0,0
192,TRANSFER,3716.74,C48010052,125702.0,121985.26,C58729816,1515339.27,1519056.02,0,0
400,CASH_OUT,301926.09,C1040457800,9059.0,0.0,C1824866611,832433.39,1134359.47,0,0
323,PAYMENT,7771.45,C1858453470,0.0,0.0,M1113269182,0.0,0.0,0,0
514,TRANSFER,244687.41,C824851825,0.0,0.0,C199535173,1015994.42,1260681.83,0,0
149,TRANSFER,17569.42,C767812247,17569.42,0.0,C263239858,0.0,0.0,1,0
38,CASH_IN,21648.05,C1768367765,20841557.46,20863205.51,C815333757,299831.2,278183.15,0,0
437,CASH_OUT,207801.38,C823071811,207801.38,0.0,C747395830,0.0,207801.38,1,0
139,CASH_OUT,375141.86,C701624448,375141.86,0.0,C1632095414,124753.19,252008.88,1,0
37,CASH_OUT,99548.49,C879015684,0.0,0.0,C2055396138,807140.24,906688.73,0,0
207,CASH_OUT,513602.35,C351386277,0.0,0.0,C1494927186,1582994.18,2096596.53,0,0
594,CASH_OUT,116245.74,C324085423,0.0,0.0,C2046828780,2522264.93,2638510.67,0,0
300,CASH_IN,439062.03,C1542118049,3443909.87,3882971.9,C426544405,927425.3,488363.28,0,0
226,CASH_IN,163062.31,C365801320,6978001.94,7141064.25,C2026017241,911848.21,748785.9,0,0
30,CASH_OUT,19016.22,C1257554854,19016.22,0.0,C1044117371,9347999.52,9367015.74,1,0
274,TRANSFER,24279.32,C1174268918,24279.32,0.0,C1953342406,0.0,0.0,1,0
116,TRANSFER,2694857.26,C2100014537,2694857.26,0.0,C973050515,0.0,0.0,1,0
130,TRANSFER,201988.55,C1124488417,201988.55,0.0,C795184692,0.0,0.0,1,0
129,CASH_OUT,249040.14,C356524253,0.0,0.0,C888531249,1687936.38,1936976.51,0,0
297,CASH_OUT,243131.73,C1018995023,0.0,0.0,C1317309269,746563.23,989694.95,0,0
9,PAYMENT,27597.46,C138537114,297837.57,270240.11,M2086243083,0.0,0.0,0,0
154,TRANSFER,1581441.8,C1665891733,1581441.8,0.0,C1915924384,0.0,0.0,1,0
374,CASH_OUT,115125.3,C908924241,115125.3,0.0,C1546609345,8601839.76,8716965.06,1,0
402,PAYMENT,31832.72,C344996981,0.0,0.0,M480932993,0.0,0.0,0,0
286,PAYMENT,741.93,C1647274933,39919.0,39177.07,M1250424588,0.0,0.0,0,0
534,TRANSFER,671516.68,C1839099341,671516.68,0.0,C1683016763,0.0,0.0,1,0
351,TRANSFER,153607.08,C875012263,153607.08,0.0,C1330100678,0.0,0.0,1,0
192,TRANSFER,1764326.19,C1959772119,1764326.19,0.0,C195893407,0.0,0.0,1,0
68,TRANSFER,157494.6,C1123186349,157494.6,0.0,C1729475937,0.0,0.0,1,0
310,TRANSFER,5239429.19,C1514931968,5239429.19,0.0,C1789156105,0.0,0.0,1,0
568,CASH_OUT,66188.66,C1737756635,66188.66,0.0,C1532114451,715846.03,782034.69,1,0
300,CASH_IN,208059.71,C1077312359,2033080.31,2241140.03,C112745836,1789756.37,1581696.65,0,0
710,CASH_OUT,10000000.0,C415175436,10000000.0,0.0,C1774310379,1058449.45,11058449.45,1,0
394,CASH_IN,358037.34,C76791192,11445361.04,11803398.38,C310822477,1818845.08,1460807.73,0,0
253,PAYMENT,16670.7,C2109352733,10902.0,0.0,M1101489984,0.0,0.0,0,0
595,TRANSFER,76732.89,C1422736429,76732.89,0.0,C420728464,0.0,0.0,1,0
353,PAYMENT,8528.39,C972623991,11634.0,3105.61,M478033539,0.0,0.0,0,0
418,TRANSFER,892376.71,C1948643468,892376.71,0.0,C118884572,0.0,0.0,1,0
370,CASH_OUT,811459.21,C1102225556,811459.21,0.0,C2084986511,843227.0,1654686.21,1,0
